Name,Author,ISBN,Description (optional),Quantity,"Type (Textbook, General Reading, Test Prep, Other)",Rentable (Y/N),Reservable (Y/N),Buffer Time
The Glorious Qur'an,Muhammad M. Pickthall,978-1-879402-16-4,,1,Textbook,,,
Lives of Girls and Women,Alice Munro,978-0-375-70749-0,,1,Textbook,,,
Roaring Camp: The Social World of The California Gold Rush,Susan Lee Johnson,0-393-32099-5,,1,Textbook,,,
Deliverance,James Dickey,0-385-31387-X,,1,Textbook,,,
Introducing Buddhism,Charles S. Prebish and Damien Keown,978-0-415-55000-0,,1,Textbook,,,
Islam: An Introduction,Annemarie Schimmel,978-0-7914-1328-9,,1,Textbook,,,
Between The World And Me ,Ta- Nehisi Coates ,978-0-8129-9354-7,,1,General Reading,,,
Introduction to Managerial Accounting ,"Peter Brewer, Ray H. Garrison, Eric W. Noreen ",978-0-07-352707-9,,1,Textbook,,,
Microeconomics ,"Austan Gololsbee,  Steven Levitt, Chad Syverson ",978-0-7167-5975-1,,1,Textbook,,,
Listen: Eighth Edition ,"Joseph Kernman, Gary Tomlinson ",978-0-393-60363-7,,1,Textbook,,,
The Bride Price ,Buchi Emecheta ,978-0-8076-1628-4,,1,General Reading ,,,
GMAT Premier 2017,Kaplan ,978-1-5062-0321-8,,1,Test Prep,,,
The Bedford Handbook: Ninth Edition ,"Diana Hacker, Nancy Sommer ",978-1-4576-0802-5,,1,Textbook,,,
Modern Business Statistics ,"David Anderson, Dennis Sweeney, Thomas Williams ",978-1-285-43330-1,,1,Textbook,,,
Atlas Of Medieval Europe: Second Edition ,"David Ditchburn, Simon Maclean, Angus Mackay ",978-0-415-38302-8,,1,Textbook,,,
A Conscious Parent's Guide to Childhood Anxiety ,"Sherianna Boyle, Med, CAGS",978-1-4405-9414-4,,1,Textbook,,,
"Gendered Lives: Communication, Gender, and Culture ",Julia Wood ,978-1-285-07593-8,,1,Textbook,,,
Cane ,Jean Toomer,978-0-87140-210-3,,1,General Reading,,,
The Rise of Enlightened Sexism: How Pop Culture Took Us from Girl Power to Girls Gone Wild ,Susan Douglas,978-0-312-67392-5,,1,General Reading,,,
The Conscious Parent's Guide to ADHD,Rebecca Branstetter,978-1-4405-9311-6,,1,General Reading,,,
L'enfant Noir ,Camara Laye ,978-2-266-10815-7,,1,General Reading,,,
L'enfant Multiple,Andrée Chedid ,978-2-290-34050-9,,1,General Reading,,,
The Sociology of Fod and Agriculture ,Michael Carolan ,978-0-415-69858-0,,1,Textbook,,,
Ethics and Health Care,John C. Moskop ,978-1-107-60175-8,,1,Textbook,,,
Gender in a Transitional Era: Changes and Challenges ,"Amanda R. Martinez, Lucy J. Miller ",978-1-4985-0734-9,,1,Textbook,,,
Film Art,"David Bordwell, Kristin Thompson ",0-07-0064439-3,,1,Textbook,,,
"Strangers, Gods, and Monsters ",Richard Kearney ,978-0-415-27257-5,,1,Textbook,,,
Islam Is A Foreign Country ,Zareena Grewal,978-1-4798-0088-9,,1,Textbook,,,
Beowulf,Seamus Heaney,978-0-393-3209-8,,1,General Reading,,,
The Boy's Crusade: The American Infantry In Northwestern Europe ,Paul Fussell,0-8129-7488-3,,1,General Reading,,,
Public Speaking: Finding Your Voice ,"Michael Osborn, Suzanne Osborn, Randall Osborn, Kathleen J. Turner ",978-0-205-93109-5,,1,Textbook,,,
Essentials of Economics ,"Paul Krugman, Robin Wells, Kathryn Grady ",978-1-4292-7850-8,,1,Textbook,,,
Film Theory and Critcism ,"Leo Braudy, Marshall Cohen ",0-19-515817-2,,1,Textbook,,,
Notes From Underground ,Fydor Dostoevsky ,978-0-393-97612-0,,1,General Reading,,,
After The Revolution ,Amy Herzog,978-0-8222-2510-2,,1,General Reading,,,
Reading In Classical Chinese Philosophy ,"Philip J. Ivanhoe, BryanW. Van Norden ",978-0-87220-780-6,,1,General Reading,,,
Anything Goes: A History Of American Musical Theatre,Ethan Mordden ,978-0-19-989283-9,,1,Textbook,,,
The Expanding Circle: Ethics Evolution and Moral Progress,Peter Singer ,978-0-691-15069-7,,1,Textbook,,,
Death of a Salesman,Arthur Miller ,978-0-8222-0290-5,,1,General Reading,,,
Musical Scene Study: The Musicala of Rodgers & Hammerstein ,Tom Briggs,978-1-55783-722-6,,1,Textbook,,,
The Troubled Dream of Life: In Search of a Peaceful Death,Daniel Callahan ,978-0-87840-815-3,,1,Textbook,,,
The Powers: 12 Principles to Tranform Your Life froom Ordinary to Extraordinary ,Mark W. Erwin ,978-1-5107-0616-3,,1,General Reading,,,
The Denial of Death ,Ernest Becker ,978-0-684-83240-1,,1,Textbook,,,
